(u'wednesday may 23 1990', '1990-05-23')
(u'20 mar 2002', '2002-03-20')
(u'4/12/71', '1971-04-12')
(u'wednesday november 25 1987', '1987-11-25')
(u'13 september 2004', '2004-09-13')
(u'saturday november 21 1981', '1981-11-21')
(u'jan 30 1973', '1973-01-30')
(u'26 january 1999', '1999-01-26')
(u'09 aug 2007', '2007-08-09')
(u'02.10.18', '2018-10-02')
(u'22 august 2005', '2005-08-22')
(u'tuesday december 17 1991', '1991-12-17')
(u'7/27/71', '1971-07-27')
(u'11 apr 2003', '2003-04-11')
(u'september 4 2013', '2013-09-04')
(u'tuesday may 9 1995', '1995-05-09')
(u'15 jul 1997', '1997-07-15')
(u'july 7 1974', '1974-07-07')
(u'friday september 13 1985', '1985-09-13')
(u'24 december 1998', '1998-12-24')
(u'18 04 09', '2009-04-18')
(u'tuesday november 19 1985', '1985-11-19')
(u'16 09 10', '2010-09-16')
(u'15 october 1998', '1998-10-15')
(u'28 feb 1997', '1997-02-28')
(u'thursday november 1 1979', '1979-11-01')
(u'8 jan 2004', '2004-01-08')
(u'tuesday september 14 1976', '1976-09-14')
(u'monday july 30 1990', '1990-07-30')
(u'may 21 2013', '2013-05-21')
(u'23 june 2012', '2012-06-23')
(u'march 23 2016', '2016-03-23')
(u'sunday june 24 1979', '1979-06-24')
(u'april 8 2014', '2014-04-08')
(u'thursday december 10 1992', '1992-12-10')
(u'wednesday january 18 1978', '1978-01-18')
(u'november 14 2013', '2013-11-14')
(u'july 4 2016', '2016-07-04')
(u'18.08.17', '2017-08-18')
(u'saturday july 18 1987', '1987-07-18')
(u'saturday january 3 1981', '1981-01-03')
(u'april 4 2015', '2015-04-04')
(u'19 november 2004', '2004-11-19')
(u'april 18 2015', '2015-04-18')
(u'12 september 2005', '2005-09-12')
(u'10.03.18', '2018-03-10')
(u'23 september 2005', '2005-09-23')
(u'15 02 10', '2010-02-15')
(u'march 2 2015', '2015-03-02')
(u'saturday january 12 1991', '1991-01-12')
(u'january 7 2015', '2015-01-07')
(u'sunday april 1 1990', '1990-04-01')
(u'12.01.17', '2017-01-12')
(u'14 jul 1996', '1996-07-14')
(u'13 may 2001', '2001-05-13')
(u'6/24/70', '1970-06-24')
(u'tuesday august 12 1986', '1986-08-12')
(u'friday june 17 1983', '1983-06-17')
(u'8/3/70', '1970-08-03')
(u'saturday april 27 1985', '1985-04-27')
(u'tuesday august 3 1982', '1982-08-03')
(u'april 29 1975', '1975-04-29')
(u'tuesday july 6 1982', '1982-07-06')
(u'9 february 2012', '2012-02-09')
(u'saturday july 19 1980', '1980-07-19')
(u'2 apr 2004', '2004-04-02')
(u'18.07.18', '2018-07-18')
(u'6/12/70', '1970-06-12')
(u'20 october 2004', '2004-10-20')
(u'friday july 30 1976', '1976-07-30')
(u'wednesday january 17 1979', '1979-01-17')
(u'saturday january 26 1985', '1985-01-26')
(u'december 4 2014', '2014-12-04')
(u'november 19 2012', '2012-11-19')
(u'june 29 1974', '1974-06-29')
(u'01 sep 2008', '2008-09-01')
(u'february 20 1974', '1974-02-20')
(u'wednesday july 22 1987', '1987-07-22')
(u'06.12.18', '2018-12-06')
(u'january 18 2013', '2013-01-18')
(u'may 16 1975', '1975-05-16')
(u'2 oct 1997', '1997-10-02')
(u'wednesday august 1 1990', '1990-08-01')
(u'15 jan 2003', '2003-01-15')
(u'10 january 2012', '2012-01-10')
(u'17 apr 1997', '1997-04-17')
(u'august 15 2015', '2015-08-15')
(u'november 14 2013', '2013-11-14')
(u'sunday january 1 1978', '1978-01-01')
(u'oct 15 1972', '1972-10-15')
(u'monday september 10 1979', '1979-09-10')
(u'thursday november 10 1994', '1994-11-10')
(u'6 jan 2004', '2004-01-06')
(u'24 october 2011', '2011-10-24')
(u'12 october 2005', '2005-10-12')
(u'09 jan 2002', '2002-01-09')
(u'31 may 1999', '1999-05-31')
(u'05 jan 2002', '2002-01-05')
(u'tuesday august 1 1989', '1989-08-01')
(u'09 jun 2002', '2002-06-09')
(u'5 december 2010', '2010-12-05')
(u'1 december 2011', '2011-12-01')
(u'3 march 2005', '2005-03-03')
(u'25 jan 2003', '2003-01-25')
(u'jul 17 1973', '1973-07-17')
(u'sunday january 19 1986', '1986-01-19')
(u'sunday april 19 1992', '1992-04-19')
(u'thursday january 10 1985', '1985-01-10')
(u'friday september 14 1979', '1979-09-14')
(u'tuesday may 3 1988', '1988-05-03')
(u'16 october 2010', '2010-10-16')
(u'saturday january 29 1983', '1983-01-29')
(u'october 15 2015', '2015-10-15')
(u'4/24/70', '1970-04-24')
(u'sunday august 26 1990', '1990-08-26')
(u'20 april 2005', '2005-04-20')
(u'11 dec 2006', '2006-12-11')
(u'8/2/70', '1970-08-02')
(u'august 21 1975', '1975-08-21')
(u'jun 19 1973', '1973-06-19')
(u'29 aug 1997', '1997-08-29')
(u'august 21 1974', '1974-08-21')
(u'friday may 26 1989', '1989-05-26')
(u'monday october 24 1983', '1983-10-24')
(u'january 6 1975', '1975-01-06')
(u'tuesday may 3 1988', '1988-05-03')
(u'friday april 26 1991', '1991-04-26')
(u'22 apr 1998', '1998-04-22')
(u'monday november 24 1986', '1986-11-24')
(u'may 16 1973', '1973-05-16')
(u'thursday february 6 1986', '1986-02-06')
(u'21 dec 2003', '2003-12-21')
(u'3/5/70', '1970-03-05')
(u'monday july 17 1995', '1995-07-17')
(u'12/15/70', '1970-12-15')
(u'18 april 2012', '2012-04-18')
(u'friday august 17 1979', '1979-08-17')
(u'monday february 12 1996', '1996-02-12')
(u'june 22 1974', '1974-06-22')
(u'14 oct 1996', '1996-10-14')
(u'20 10 08', '2008-10-20')
(u'october 5 2014', '2014-10-05')
(u'25 aug 2008', '2008-08-25')
(u'september 27 2013', '2013-09-27')
(u'5/20/70', '1970-05-20')
(u'8 06 09', '2009-06-08')
(u'may 26 1972', '1972-05-26')
(u'9 august 2012', '2012-08-09')
(u'05.10.18', '2018-10-05')
(u'14 february 2005', '2005-02-14')
(u'4 september 1999', '1999-09-04')
(u'19 november 2005', '2005-11-19')
(u'march 31 1974', '1974-03-31')
(u'4 april 2012', '2012-04-04')
(u'april 12 1974', '1974-04-12')
(u'monday september 7 1981', '1981-09-07')
(u'monday march 21 1983', '1983-03-21')
(u'26 aug 2003', '2003-08-26')
(u'thursday april 6 1989', '1989-04-06')
(u'sunday november 20 1988', '1988-11-20')
(u'wednesday july 27 1994', '1994-07-27')
(u'13 nov 2006', '2006-11-13')
(u'7 february 2011', '2011-02-07')
(u'12 may 2011', '2011-05-12')
(u'saturday november 12 1983', '1983-11-12')
(u'jul 25 1972', '1972-07-25')
(u'august 14 1974', '1974-08-14')
(u'august 17 1975', '1975-08-17')
(u'30 june 2006', '2006-06-30')
(u'february 15 1974', '1974-02-15')
(u'09 jan 2007', '2007-01-09')
(u'2/2/70', '1970-02-02')
(u'14 aug 2003', '2003-08-14')
(u'sunday february 7 1982', '1982-02-07')
(u'25 jul 2001', '2001-07-25')
(u'18 mar 2007', '2007-03-18')
(u'13 jan 2002', '2002-01-13')
(u'aug 15 1973', '1973-08-15')
(u'1/6/71', '1971-01-06')
(u'friday september 23 1988', '1988-09-23')
(u'may 23 2014', '2014-05-23')
(u'thursday september 24 1992', '1992-09-24')
(u'thursday november 11 1982', '1982-11-11')
(u'wednesday january 13 1993', '1993-01-13')
(u'26 02 10', '2010-02-26')
(u'tuesday february 19 1980', '1980-02-19')
(u'january 15 1976', '1976-01-15')
(u'december 14 2014', '2014-12-14')
(u'wednesday october 3 1990', '1990-10-03')
(u'saturday september 21 1991', '1991-09-21')
(u'wednesday march 20 1985', '1985-03-20')
(u'friday december 18 1981', '1981-12-18')
(u'8 march 2012', '2012-03-08')
(u'11 04 09', '2009-04-11')
(u'tuesday june 8 1982', '1982-06-08')
(u'25 june 2005', '2005-06-25')
(u'december 24 2014', '2014-12-24')
(u'tuesday june 12 1990', '1990-06-12')
(u'04.01.18', '2018-01-04')
(u'june 12 1974', '1974-06-12')
(u'31 december 2010', '2010-12-31')
(u'22 august 2011', '2011-08-22')
(u'friday may 7 1982', '1982-05-07')
(u'wednesday july 20 1983', '1983-07-20')
(u'sunday april 24 1983', '1983-04-24')
(u'tuesday september 7 1976', '1976-09-07')
(u'11 09 09', '2009-09-11')
(u'6 mar 2004', '2004-03-06')
(u'26 jul 2008', '2008-07-26')
(u'05 jun 2001', '2001-06-05')
(u'sunday october 17 1982', '1982-10-17')
(u'april 7 1974', '1974-04-07')
(u'thursday august 26 1982', '1982-08-26')
(u'31 jul 2008', '2008-07-31')
(u'12/18/70', '1970-12-18')
(u'friday february 9 1996', '1996-02-09')
(u'tuesday september 24 1985', '1985-09-24')
(u'tuesday february 14 1984', '1984-02-14')
(u'wednesday may 21 1986', '1986-05-21')
(u'15 december 1998', '1998-12-15')
(u'saturday april 8 1978', '1978-04-08')
(u'friday october 14 1977', '1977-10-14')
(u'31 july 2011', '2011-07-31')
(u'04 dec 2006', '2006-12-04')
(u'monday august 10 1987', '1987-08-10')
(u'saturday march 6 1982', '1982-03-06')
(u'11 august 1998', '1998-08-11')
(u'august 21 2015', '2015-08-21')
(u'28 jul 2008', '2008-07-28')
(u'sunday september 8 1991', '1991-09-08')
(u'21 jan 2001', '2001-01-21')
(u'saturday august 1 1987', '1987-08-01')
(u'18 september 2004', '2004-09-18')
(u'monday may 8 1995', '1995-05-08')
(u'5/1/71', '1971-05-01')
(u'26 dec 2002', '2002-12-26')
(u'28 august 2012', '2012-08-28')
(u'tuesday september 21 1993', '1993-09-21')
(u'monday october 31 1977', '1977-10-31')
(u'monday november 5 1984', '1984-11-05')
(u'saturday june 2 1979', '1979-06-02')
(u'9 february 2011', '2011-02-09')
(u'29 december 2005', '2005-12-29')
(u'saturday july 21 1984', '1984-07-21')
(u'monday october 22 1984', '1984-10-22')
(u'sunday march 7 1976', '1976-03-07')
(u'friday july 19 1991', '1991-07-19')
(u'08.10.17', '2017-10-08')
(u'17 jan 2007', '2007-01-17')
(u'october 15 2015', '2015-10-15')
(u'aug 22 1973', '1973-08-22')
(u'april 19 2015', '2015-04-19')
(u'september 4 2014', '2014-09-04')
(u'7 09 09', '2009-09-07')
(u'friday april 9 1976', '1976-04-09')
(u'10 july 2012', '2012-07-10')
(u'13.11.17', '2017-11-13')
(u'27 march 2006', '2006-03-27')
(u'thursday march 9 1995', '1995-03-09')
(u'tuesday october 14 1986', '1986-10-14')
(u'december 28 2012', '2012-12-28')
(u'18 april 1999', '1999-04-18')
(u'wednesday october 23 1985', '1985-10-23')
(u'jan 10 1974', '1974-01-10')
(u'11/7/70', '1970-11-07')
(u'10 may 2004', '2004-05-10')
(u'wednesday june 20 1984', '1984-06-20')
(u'monday june 21 1976', '1976-06-21')
(u'thursday january 10 1985', '1985-01-10')
(u'wednesday august 12 1992', '1992-08-12')
(u'16 june 2011', '2011-06-16')
(u'wednesday march 17 1993', '1993-03-17')
(u'tuesday april 20 1976', '1976-04-20')
(u'19 07 10', '2010-07-19')
(u'4 jan 2003', '2003-01-04')
(u'20 sep 1996', '1996-09-20')
(u'december 19 2013', '2013-12-19')
(u'wednesday november 1 1989', '1989-11-01')
(u'monday december 12 1988', '1988-12-12')
(u'sep 5 1972', '1972-09-05')
(u'20 jan 2004', '2004-01-20')
(u'5 june 2000', '2000-06-05')
(u'may 16 2016', '2016-05-16')
(u'5/21/70', '1970-05-21')
(u'saturday march 17 1990', '1990-03-17')
(u'wednesday may 29 1991', '1991-05-29')
(u'monday april 30 1990', '1990-04-30')
(u'feb 14 1972', '1972-02-14')
(u'13 11 09', '2009-11-13')
(u'feb 8 1972', '1972-02-08')
(u'01 may 2001', '2001-05-01')
(u'thursday april 18 1985', '1985-04-18')
(u'saturday october 13 1990', '1990-10-13')
(u'4 january 2011', '2011-01-04')
(u'saturday december 29 1979', '1979-12-29')
(u'friday january 13 1995', '1995-01-13')
(u'thursday january 20 1983', '1983-01-20')
(u'10 november 1999', '1999-11-10')
(u'19 aug 1996', '1996-08-19')
(u'30 aug 2002', '2002-08-30')
(u'september 3 1974', '1974-09-03')
(u'18 dec 2000', '2000-12-18')
(u'29 may 2002', '2002-05-29')
(u'apr 26 1973', '1973-04-26')
(u'07.06.17', '2017-06-07')
(u'22 august 2011', '2011-08-22')
(u'25 10 08', '2008-10-25')
(u'27 jun 2008', '2008-06-27')
(u'friday june 24 1994', '1994-06-24')
(u'october 19 2014', '2014-10-19')
(u'tuesday august 2 1977', '1977-08-02')
(u'26 may 2006', '2006-05-26')
(u'19.10.17', '2017-10-19')
(u'jan 26 1973', '1973-01-26')
(u'02 oct 2001', '2001-10-02')
(u'18.08.17', '2017-08-18')
(u'thursday december 9 1976', '1976-12-09')
(u'13 may 1997', '1997-05-13')
(u'december 10 2013', '2013-12-10')
(u'sunday november 28 1982', '1982-11-28')
(u'saturday april 12 1980', '1980-04-12')
(u'15 february 2005', '2005-02-15')
(u'15 11 08', '2008-11-15')
(u'february 2 2016', '2016-02-02')
(u'08 dec 2001', '2001-12-08')
(u'aug 20 1972', '1972-08-20')
(u'10 03 10', '2010-03-10')
(u'friday december 30 1983', '1983-12-30')
(u'31 jul 1997', '1997-07-31')
(u'13 april 2005', '2005-04-13')
(u'15.11.17', '2017-11-15')
(u'26 dec 1996', '1996-12-26')
(u'tuesday february 1 1977', '1977-02-01')
(u'tuesday january 17 1995', '1995-01-17')
(u'27 feb 1997', '1997-02-27')
(u'23 oct 2006', '2006-10-23')
(u'wednesday may 9 1979', '1979-05-09')
(u'30 dec 1996', '1996-12-30')
(u'jun 6 1972', '1972-06-06')
(u'17.03.18', '2018-03-17')
(u'2/9/71', '1971-02-09')
(u'monday june 24 1996', '1996-06-24')
(u'tuesday july 18 1978', '1978-07-18')
(u'monday june 13 1983', '1983-06-13')
(u'friday september 8 1989', '1989-09-08')
(u'saturday may 22 1982', '1982-05-22')
(u'tuesday october 12 1982', '1982-10-12')
(u'friday february 8 1985', '1985-02-08')
(u'tuesday june 7 1994', '1994-06-07')
(u'october 23 2016', '2016-10-23')
(u'friday march 28 1980', '1980-03-28')
(u'wednesday june 14 1978', '1978-06-14')
(u'feb 6 1972', '1972-02-06')
(u'october 24 2014', '2014-10-24')
(u'28 apr 2008', '2008-04-28')
(u'25 08 10', '2010-08-25')
(u'wednesday april 27 1977', '1977-04-27')
(u'friday august 9 1991', '1991-08-09')
(u'12 nov 2002', '2002-11-12')
(u'tuesday january 2 1996', '1996-01-02')
(u'3 november 2005', '2005-11-03')
(u'wednesday july 4 1979', '1979-07-04')
(u'march 5 2014', '2014-03-05')
(u'21 december 1998', '1998-12-21')
(u'12 december 1999', '1999-12-12')
(u'6 september 1998', '1998-09-06')
(u'wednesday september 4 1991', '1991-09-04')
(u'8/13/70', '1970-08-13')
(u'thursday january 5 1978', '1978-01-05')
(u'tuesday july 20 1993', '1993-07-20')
(u'jan 4 1974', '1974-01-04')
(u'14 february 1999', '1999-02-14')
(u'friday april 20 1979', '1979-04-20')
(u'5 jul 2003', '2003-07-05')
(u'friday october 27 1989', '1989-10-27')
(u'09 mar 2002', '2002-03-09')
(u'wednesday october 27 1982', '1982-10-27')
(u'february 6 1976', '1976-02-06')
(u'07 jul 2002', '2002-07-07')
(u'27 05 10', '2010-05-27')
(u'tuesday april 29 1980', '1980-04-29')
(u'10/18/71', '1971-10-18')
(u'6 july 2012', '2012-07-06')
(u'12 nov 2006', '2006-11-12')
(u'14 jul 2007', '2007-07-14')
(u'12 sep 2008', '2008-09-12')
(u'sunday june 3 1990', '1990-06-03')
(u'july 18 2016', '2016-07-18')
(u'10 07 09', '2009-07-10')
(u'27 dec 2006', '2006-12-27')
(u'january 14 2016', '2016-01-14')
(u'june 11 2014', '2014-06-11')
(u'26 aug 1997', '1997-08-26')
(u'oct 6 1972', '1972-10-06')
(u'16 november 1998', '1998-11-16')
(u'wednesday april 6 1994', '1994-04-06')
(u'10/30/70', '1970-10-30')
(u'sunday may 19 1985', '1985-05-19')
(u'22 02 10', '2010-02-22')
(u'30 july 2000', '2000-07-30')
(u'july 13 2015', '2015-07-13')
(u'30 dec 2006', '2006-12-30')
(u'friday february 2 1979', '1979-02-02')
(u'28 november 2004', '2004-11-28')
(u'apr 18 1972', '1972-04-18')
(u'19 july 2012', '2012-07-19')
(u'sunday may 27 1984', '1984-05-27')
(u'10.07.17', '2017-07-10')
(u'may 2 1972', '1972-05-02')
(u'3 may 2006', '2006-05-03')
(u'december 17 1974', '1974-12-17')
(u'28 march 2012', '2012-03-28')
(u'2 01 10', '2010-01-02')
(u'friday january 27 1995', '1995-01-27')
(u'25 jul 1997', '1997-07-25')
(u'monday october 6 1980', '1980-10-06')
(u'monday november 2 1987', '1987-11-02')
(u'tuesday april 5 1977', '1977-04-05')
(u'wednesday april 5 1989', '1989-04-05')
(u'friday october 1 1976', '1976-10-01')
(u'13 jan 2001', '2001-01-13')
(u'tuesday february 15 1994', '1994-02-15')
(u'sunday may 24 1987', '1987-05-24')
(u'friday december 12 1986', '1986-12-12')
(u'august 3 2016', '2016-08-03')
(u'may 21 2016', '2016-05-21')
(u'04.12.17', '2017-12-04')
(u'wednesday september 30 1987', '1987-09-30')
(u'jan 5 1974', '1974-01-05')
(u'monday december 19 1977', '1977-12-19')
(u'10 february 2012', '2012-02-10')
(u'friday march 6 1987', '1987-03-06')
(u'sunday march 13 1977', '1977-03-13')
(u'october 8 2016', '2016-10-08')
(u'monday december 1 1980', '1980-12-01')
(u'4 jun 1997', '1997-06-04')
(u'thursday march 29 1990', '1990-03-29')
(u'monday october 4 1976', '1976-10-04')
(u'sunday march 20 1988', '1988-03-20')
(u'01 aug 2008', '2008-08-01')
(u'29 jul 1996', '1996-07-29')
(u'25 december 2011', '2011-12-25')
(u'10/14/70', '1970-10-14')
(u'april 12 1975', '1975-04-12')
(u'sunday february 24 1991', '1991-02-24')
(u'05 jun 2001', '2001-06-05')
(u'monday february 19 1990', '1990-02-19')
(u'tuesday july 5 1983', '1983-07-05')
(u'9 11 09', '2009-11-09')
(u'27 september 2011', '2011-09-27')
(u'09 oct 2001', '2001-10-09')
(u'friday june 25 1976', '1976-06-25')
(u'6 april 2006', '2006-04-06')
(u'27 september 1999', '1999-09-27')
(u'18 december 2005', '2005-12-18')
(u'1 january 2006', '2006-01-01')
(u'27 jul 1997', '1997-07-27')
(u'tuesday october 25 1988', '1988-10-25')
(u'26 december 2010', '2010-12-26')
(u'april 18 2015', '2015-04-18')
(u'july 24 2016', '2016-07-24')
(u'thursday november 8 1984', '1984-11-08')
(u'thursday may 8 1980', '1980-05-08')
(u'tuesday june 5 1979', '1979-06-05')
(u'29 apr 2003', '2003-04-29')
(u'12.03.17', '2017-03-12')
(u'friday september 11 1981', '1981-09-11')
(u'saturday december 28 1991', '1991-12-28')
(u'5 sep 1996', '1996-09-05')
(u'sunday may 20 1990', '1990-05-20')
(u'7 nov 1996', '1996-11-07')
(u'friday february 26 1988', '1988-02-26')
(u'20 september 1998', '1998-09-20')
(u'13.11.17', '2017-11-13')
(u'26 may 2007', '2007-05-26')
(u'15.02.17', '2017-02-15')
(u'monday august 13 1990', '1990-08-13')
(u'tuesday april 26 1977', '1977-04-26')
(u'friday november 23 1979', '1979-11-23')
(u'thursday april 30 1981', '1981-04-30')
(u'05 sep 2007', '2007-09-05')
(u'tuesday december 2 1980', '1980-12-02')
(u'20 jun 1997', '1997-06-20')
(u'may 20 2015', '2015-05-20')
(u'tuesday august 14 1990', '1990-08-14')
(u'sunday august 9 1981', '1981-08-09')
(u'june 8 2013', '2013-06-08')
(u'01.12.17', '2017-12-01')
(u'may 1 1973', '1973-05-01')
(u'5 04 10', '2010-04-05')
(u'06.09.17', '2017-09-06')
(u'wednesday july 4 1984', '1984-07-04')
(u'tuesday july 14 1987', '1987-07-14')
(u'tuesday may 22 1979', '1979-05-22')
(u'tuesday august 12 1980', '1980-08-12')
(u'30 aug 2007', '2007-08-30')
(u'wednesday august 14 1991', '1991-08-14')
(u'tuesday february 19 1985', '1985-02-19')
(u'wednesday november 4 1987', '1987-11-04')
(u'may 30 2014', '2014-05-30')
(u'13.10.18', '2018-10-13')
(u'friday august 23 1985', '1985-08-23')
(u'monday january 31 1983', '1983-01-31')
(u'tuesday march 8 1983', '1983-03-08')
(u'15 may 2008', '2008-05-15')
(u'june 24 2014', '2014-06-24')
(u'saturday june 9 1979', '1979-06-09')
(u'february 16 1975', '1975-02-16')
(u'monday april 14 1986', '1986-04-14')
(u'19 08 10', '2010-08-19')
(u'22 june 2011', '2011-06-22')
(u'july 1 2016', '2016-07-01')
(u'tuesday july 24 1990', '1990-07-24')
(u'feb 13 1972', '1972-02-13')
(u'mar 30 1972', '1972-03-30')
(u'21 06 09', '2009-06-21')
(u'thursday may 5 1988', '1988-05-05')
(u'thursday may 4 1978', '1978-05-04')
(u'monday october 17 1983', '1983-10-17')
(u'november 25 1974', '1974-11-25')
(u'november 5 2014', '2014-11-05')
(u'sunday january 20 1991', '1991-01-20')
(u'friday september 16 1994', '1994-09-16')
(u'monday october 15 1979', '1979-10-15')
(u'tuesday august 1 1995', '1995-08-01')
(u'tuesday june 1 1982', '1982-06-01')
(u'december 17 2015', '2015-12-17')
(u'6 may 2012', '2012-05-06')
(u'3 march 2005', '2005-03-03')
(u'13 aug 1997', '1997-08-13')
(u'2 october 2005', '2005-10-02')
(u'february 23 1974', '1974-02-23')
(u'wednesday september 16 1987', '1987-09-16')
(u'february 15 2013', '2013-02-15')
(u'20 sep 2008', '2008-09-20')
(u'thursday june 13 1985', '1985-06-13')
(u'friday october 21 1988', '1988-10-21')
(u'wednesday october 27 1976', '1976-10-27')
(u'1/15/70', '1970-01-15')
(u'july 1 2016', '2016-07-01')
(u'thursday january 11 1979', '1979-01-11')
(u'16 03 09', '2009-03-16')
(u'tuesday september 26 1978', '1978-09-26')
(u'friday april 10 1992', '1992-04-10')
(u'20 aug 1996', '1996-08-20')
(u'thursday january 18 1979', '1979-01-18')
(u'tuesday october 4 1983', '1983-10-04')
(u'monday october 25 1976', '1976-10-25')
(u'3/10/70', '1970-03-10')
(u'friday january 8 1988', '1988-01-08')
(u'30 january 2011', '2011-01-30')
(u'thursday october 9 1980', '1980-10-09')
(u'friday march 8 1991', '1991-03-08')
(u'wednesday april 5 1989', '1989-04-05')
(u'friday march 17 1995', '1995-03-17')
(u'thursday june 26 1980', '1980-06-26')
(u'apr 26 1972', '1972-04-26')
(u'saturday march 1 1986', '1986-03-01')
(u'05.12.17', '2017-12-05')
(u'25 may 1998', '1998-05-25')
(u'saturday february 15 1992', '1992-02-15')
(u'wednesday may 30 1984', '1984-05-30')
(u'30 january 2005', '2005-01-30')
(u'sunday april 3 1977', '1977-04-03')
(u'13 january 2000', '2000-01-13')
(u'monday june 13 1994', '1994-06-13')
(u'may 10 1973', '1973-05-10')
(u'friday july 8 1994', '1994-07-08')
(u'sunday july 27 1986', '1986-07-27')
(u'7/6/70', '1970-07-06')
(u'wednesday january 1 1992', '1992-01-01')
(u'monday december 24 1979', '1979-12-24')
(u'march 26 1975', '1975-03-26')
(u'8 aug 2003', '2003-08-08')
